name,slug,city,state
IIT Bombay,iit-bombay,Mumbai,Maharashtra
IIT Delhi,iit-delhi,New Delhi,Delhi
IIT Madras,iit-madras,Chennai,Tamil Nadu
IIT Kanpur,iit-kanpur,Kanpur,Uttar Pradesh
IIT Kharagpur,iit-kharagpur,Kharagpur,West Bengal
NIT Karnataka,nitk,Surathkal,Karnataka
NIT Trichy,nit-trichy,Tiruchirappalli,Tamil Nadu
NIT Warangal,nit-warangal,Warangal,Telangana
NIT Rourkela,nit-rourkela,Rourkela,Odisha
BITS Pilani,bits-pilani,Pilani,Rajasthan
VIT Vellore,vit-vellore,Vellore,Tamil Nadu
SRM Institute of Science and Technology,srmist,Chennai,Tamil Nadu
Delhi Technological University,dtu,New Delhi,Delhi
Netaji Subhas University of Technology,nsut,New Delhi,Delhi
College of Engineering Pune,coep,Pune,Maharashtra
PES University,pes-university,Bengaluru,Karnataka
RV College of Engineering,rvce,Bengaluru,Karnataka
Thapar Institute of Engineering and Technology,thapar,Patiala,Punjab
Manipal Institute of Technology,mit-manipal,Manipal,Karnataka
Jadavpur University,jadavpur,Kolkata,West Bengal
Anna University,anna-university,Chennai,Tamil Nadu
Amity University,amity,Noida,Uttar Pradesh
Chandigarh University,chandigarh-university,Mohali,Punjab
KIIT University,kiit,Bhubaneswar,Odisha
Lovely Professional University,lpu,Phagwara,Punjab
Demo Institute of Technology,demo-institute,Demo City,Demo State
